Halal,NAME,BSE-ID,NSECode,Industry,More
yes,APTECH LTD.,APTECHT,APTECHT,Computers - Education,More
no,APTUS VALUE HOUSING FINANCE INDIA LTD,APTUS,APTUS,Finance - Housing,More
no,Arabian Petroleum Ltd,,ARABIAN,Lubricants,More
no,ARAMBHAN HOSPITALITY SERVICES LTD,ARAMBHAN,,Hotels,More
no,ARAVALI SECURITIES & FINANCE LTD.,ARAVALIS,,Finance & Investments,More
no,ARC FINANCE LTD,ARCFIN,,Finance & Investments,More
no,ARCHANA SOFTWARE LTD.,SSLFINANCE,,Trading,More
yes,Archean Chemical Industries Ltd,ACI,ACI,Specialty Chemicals,More
no,ARCHIDPLY DECOR LTD,ADL,ADL,Miscellaneous,More
no,ARCHIDPLY INDUSTRIES LTD.,ARCHIDPLY,ARCHIDPLY,Miscellaneous,More
no,ARCHIES LTD.,ARCHIES,ARCHIES,Trading,More
yes,ARCHIT ORGANOSYS LTD.,ARCHITORG,,Chemicals,More
no,ARCOTECH LTD.,ARCOTECH,,Mining / Minerals / Metals,More
no,AREX INDUSTRIES LTD.,AREXMIS,,Textiles - Processing,More
yes,ARFIN INDIA LTD,ARFIN,,Aluminium and Aluminium Products,More
yes,Arham Technologies Ltd,,ARHAM,Consumer Electronics,More
no,ARIES AGRO LTD.,ARIES,ARIES,Fertilizers,More
yes,Arihant Academy Ltd,,ARIHANTACA,Miscellaneous,More
no,ARIHANT CAPITAL MARKETS LTD.,ARIHCAPM,ARIHANTCAP,Finance & Investments,More
no,ARIHANT FOUNDATIONS & HOUSING LTD.,ARIHANT,,Construction,More
yes,Arihant Institute Ltd,ARIHANTINS,,Education,More
no,ARIHANT SUPERSTRUCTURES LIMITED,ASL,ARIHANTSUP,Construction,More
no,ARIHANT TOURNESOL LTD.,ARHNTTO,,Trading,More
no,ARIHANT'S SECURITIES LTD.,ARISE,,Finance & Investments,More
no,Aristo Bio-Tech & Lifescience,,ARISTO,Pesticides & Agrochemicals,More
no,ARMAN FINANCIAL SERVICES LTD.,ARMANFIN,ARMANFIN,Finance & Investments,More
yes,Arman Holdings Ltd.,ARMAN,,Trading,More
no,ARNOLD HOLDINGS LTD,ARNOLD,,Finance & Investments,More
